resp_id,dept_metadata,q1_venue_feedback,q2_keynote_feedback,q3_workshop_feedback,q4_catering_feedback,q5_networking_ops,q6_overall_org,q7_final_thoughts
R_001,Tech,Clear signage.,Very inspiring!,A bit too basic.,Great coffee selection.,Met some good folks.,Well run.,Send the slides.
R_002,HR,Too far away.,"Boring, fell asleep.",Useful templates.,Ran out of water.,Room was too loud.,Disorganized.,None.
R_003,ESG,Beautiful space.,Engaging delivery.,Wifi was spotty.,Lunch was okay.,Found a new partner.,Impressive.,Great job!
R_004,Sales,Hard to park.,Too long-winded.,Good energy.,Food was terrible.,Nobody wanted to talk.,Okay flow.,Better luck next time.
R_005,Tech,Modern facilities.,Decent content.,Code samples broke.,Vegetarian options!,Brief but useful.,Fine overall.,Still undecided.
R_006,Finance,A bit cold in hall.,Professional.,Helpful handouts.,Best catering ever.,Too short.,Seamless.,Happy to attend.
R_007,Marketing,Iconic location.,Slightly arrogant.,Good collaboration.,Avoid the fish.,High-level contacts.,Okay.,Not sure yet.
R_008,Tech,Lifts were slow.,Mind-blowing tech.,Instructor was fast.,Standard fare.,Waste of time.,Frustrating.,Needs more breaks.
R_009,HR,Easy to navigate.,Average speech.,Loved the demo.,Cold pasta.,Great vibe.,Solid.,Thanks!
R_010,ESG,At the city center.,Informative.,"Hard to judge, honestly.",Delicious snacks.,Good for beginners.,Adequate.,When is the next?
R_011,Sales,Stuffy air.,Waste of an hour.,Not relevant to me.,Coffee was burnt.,I stayed in my group.,Poor.,Refund please.
R_012,Tech,Good lighting.,Visionary.,Highly technical.,Loved the buffet.,Incredible leads.,Top notch.,Best event this year.
R_013,Finance,Basement room.,Monotone voice.,Standard workshop.,Okay for a snack.,Awkward silence.,Could be better.,Improve lighting.
R_014,HR,Near the station.,Funny and smart.,Learned a lot.,No dessert left.,Met the CEO!,Great.,Loved it.
R_015,Marketing,Flashy but small.,Pure marketing fluff.,Waste of time.,Expensive drinks.,Too many vendors.,Mixed feelings overall.,Won't return.
R_016,ESG,Sustainable venue.,Passionate.,Eco-focused.,Loved the vegan menu.,Good community.,Excellent.,Keep it up.
R_017,Tech,Good WiFi.,Technically sound.,Practical labs.,Pizza was greasy.,Small talk only.,It was fine for the most part even if it could be tighter.,Send the GitHub link.
R_018,Finance,Formal setting.,A bit dry.,Too short.,Efficient service.,Very professional.,Balanced.,Informative.
R_019,Sales,Hard to find.,Loud but empty.,Flashy slides.,Bland food.,No real connection.,Disappointing.,Too expensive.
R_020,HR,Clean washrooms.,Not sure what to make of it.,Engaging.,Good variety.,Found a candidate!,Happy.,Will recommend.
R_021,Marketing,Central.,Not my style.,Confusing.,Snacks were dry.,Loud music.,Average.,Maybe next time.
R_022,Tech,Spacious.,Game changer.,Best part of day.,Fruit was fresh.,Great networking.,Loved it!,Bravo.
R_023,Finance,Professional.,Competent.,Clear instructions.,Average.,Quiet.,Fine.,A fairly standard event overall.
R_024,Sales,Cramped.,Angry speaker.,Useless info.,Cold coffee.,Everyone left early.,Terrible.,Never again.
R_025,ESG,Eco-friendly.,Thoughtful.,Inspiring.,"It was alright, I guess.",Kind people.,Great vibe.,Thank you.
R_026,Marketing,Excellent location.,Very inspiring speech!,Loved the exercises.,Best coffee ever.,Nothing unusual about the networking for this type of event.,Seamless experience.,The event left a good impression on me.
R_027,Marketing,Getting there was straightforward and the atmosphere helped.,Loved the speaker.,The session felt interactive in a good way and I learned more than I expected.,Fresh and tasty.,Met great people.,The team seemed on top of things for the most part.,Loved it!
R_028,Tech,Easy enough to get to and the layout made sense.,The speaker knew how to hold the room and the message came through.,Learned so much.,Great variety.,Great flow.,The event felt well organised with very few rough spots.,Overall I came away positive.
R_029,Finance,Very modern and clean.,The keynote kept my attention and the points were clear.,I got a lot from the workshop and the examples helped a lot.,Excellent catering.,The networking was okay but nothing really stood out.,Highly organized.,I had a good experience overall.
R_030,Sales,Perfect space for the event.,Mind-blowing insights.,Very hands-on.,Food was fine overall though I wouldn't rave about it.,"Maybe useful, maybe not.",The organisation was fine all things considered.,Happy I made time for this event.
R_031,ESG,The space was bright and the signage helped a lot.,Great delivery and content.,Practical and useful.,Food was delicious!,I met useful people during networking and I would keep that format.,The event was fairly standard in how it was run and I came away fairly neutral.,This was worth attending.
R_032,ESG,Easy to find.,Highly engaging.,I liked how the workshop was run and the facilitator kept it moving.,The catering worked well for me for an event setup like this.,The networking part worked for me and I spoke to people I wouldn't have met otherwise.,It was acceptable overall though there was room to improve.,I enjoyed the event.
R_033,Tech,Great atmosphere.,The speaker made the topic interesting and the examples helped.,Exceeded expectations.,Nothing special about the food and I ate without issue.,I came away with good contacts for the time we had.,The event came across as organised throughout the day.,Please keep this going.
R_034,Finance,The place looked polished for the size of the crowd.,The delivery was confident and it didn't feel like filler.,The workshop was the strongest part for me which made it worth attending.,The catering was better than I expected and the portions were fine.,I actually connected with people which made the time worthwhile.,From start to finish it felt well managed without many obvious issues.,I appreciated the effort behind this.
R_035,Tech,Not sure if it suited the event.,The talk was engaging from the start which made the session more useful.,Great collaboration.,The food was serviceable for a short event.,Very valuable connections.,Professional.,Thanks for putting this together.
R_036,HR,The hall felt spacious and the room never felt cramped.,I got a lot out of the keynote without dragging.,The hands-on parts worked well for something I can actually apply.,I enjoyed what was served and the options felt fresh.,Excellent networking.,I thought the overall setup worked well and it showed in the flow of the day.,Amazing experience.
R_037,Marketing,The venue felt comfortable and the room never felt cramped.,The speaker knew how to hold the room and the examples helped.,The workshop was genuinely useful and the pace mostly worked.,The catering was passable even if I wanted a bit more variety.,I found it fairly average and I left with a neutral impression.,Overall it was a solidly run event and that made a difference.,I'd attend something like this again.
R_038,HR,The venue looked well kept and the lighting was decent.,Best keynote ever.,I got a lot from the workshop for something I can actually apply.,The catering was good and things stayed stocked while I was there.,The networking part worked for me once people settled in.,Things were handled smoothly overall and the transitions felt smooth.,Happy I made time for this event. I was happy enough with it.
R_039,Marketing,The venue felt comfortable once the event got started.,The talk landed well for me and it was more memorable than I expected.,The workshop felt practical and I learned more than I expected.,The snacks were a nice touch which made the break more enjoyable.,The networking session went well and it didn't feel forced.,I thought the overall flow was decent with a few small hiccups.,I enjoyed the event. That aspect was solid.
R_040,Tech,The setup worked well for a session like this.,I enjoyed the keynote overall and the pacing worked.,The activities helped the topic click without feeling too heavy.,It did the job for event food.,The session was decent enough though I didn't get much beyond small talk.,The organisation was strong once everything got moving.,Could go either way.
R_041,Sales,Spacious and well-lit.,The talk landed well for me and the message came through.,The workshop was the strongest part for me and the examples helped a lot.,The snacks were decent enough without standing out much.,I had a few brief conversations and I chatted with a couple of people.,The whole event felt put together with very few rough spots.,This was worth attending. It felt pretty well handled.
R_042,Finance,The room suited the event and it felt professional.,The keynote was easy to follow and it felt worth the time.,The session felt interactive in a good way without feeling too heavy.,Food-wise it was solid and things stayed stocked while I was there.,There were some worthwhile conversations and it didn't feel forced.,The team seemed on top of things which made the experience easy to follow.,Please keep this going. I was happy enough with it.
R_043,ESG,Easy enough to get to and the signage helped a lot.,The speaker made the topic interesting and I actually took notes.,There were some useful parts in the workshop even if some parts were slow.,Loved the vegetarian options.,The networking felt productive and I would keep that format.,The whole event felt put together which made the experience easy to follow.,I'd attend something like this again. It landed better than I expected.
R_044,HR,It was a solid venue and it was easy to settle in.,I got a lot out of the keynote and it was more memorable than I expected.,The workshop felt practical without feeling too heavy.,I liked the food selection and service moved quickly enough.,The session was serviceable and I chatted with a couple of people.,I thought the overall setup worked well once everything got moving.,The event left a good impression on me. It felt like a good fit.
R_045,Sales,Getting there was straightforward for a session like this.,The talk was engaging from the start and it felt worth the time.,"Some parts landed, some did not.",The catering was okay but not memorable.,The networking was okay for the amount of time given.,Overall it was a solidly run event without many obvious issues.,"I appreciated the effort behind this. Overall, it worked well for me."
R_046,Marketing,The space was bright for a session like this.,The keynote kept my attention and it didn't feel like filler.,The workshop was passable but I wanted a bit more from it.,I thought the catering was average all things considered.,I had a good time networking and the setup helped conversations start.,Overall it was a solidly run event and the details were mostly covered.,Thanks for putting this together. It left a good impression on me.
R_047,ESG,Easy enough to get to for the size of the crowd.,The speaker came across well without dragging.,The workshop kept me involved which made it worth attending.,I was happy with the food especially the drinks table.,I came away with good contacts which made the time worthwhile.,Overall the event was run well and the details were mostly covered.,This was worth attending. That part went smoothly.
